short_name,height_cm,,,,,,,,,,,,,,,,,,,,,,,
Éder Militão,186,,,,,,,,,,,,,,,,,,,,,,,
A. Cragno,184,,,,,,,,,,,,,,,,,,,,,,,
D. van de Beek,184,,,,,,,,,,,,,,,,,,,,,,,
V. Lindelöf,187,,,,,,,,,,,,,,,,,,,,,,,
Dani Ceballos,179,,,,,,,,,,,,,,,,,,,,,,,
Pablo Fornals,178,,,,,,,,,,,,,,,,,,,,,,,
E. Can,184,,,,,,,,,,,,,,,,,,,,,,,
Gayà,172,,,,,,,,,,,,,,,,,,,,,,,
David Neres,175,,,,,,,,,,,,,,,,,,,,,,,
P. Zieliński,180,,,,,,,,,,,,,,,,,,,,,,,
G. Rulli,189,,,,,,,,,,,,,,,,,,,,,,,
G. Xhaka,185,,,,,,,,,,,,,,,,,,,,,,,
Rafinha,174,,,,,,,,,,,,,,,,,,,,,,,
G. Kondogbia,188,,,,,,,,,,,,,,,,,,,,,,,
M. Sabitzer,177,,,,,,,,,,,,,,,,,,,,,,,
L. Shaw,181,,,,,,,,,,,,,,,,,,,,,,,
J. Martínez,170,,,,,,,,,,,,,,,,,,,,,,,
A. Doucouré,184,,,,,,,,,,,,,,,,,,,,,,,
W. Ndidi,183,,,,,,,,,,,,,,,,,,,,,,,
T. Horn,192,,,,,,,,,,,,,,,,,,,,,,,
W. Orban,186,,,,,,,,,,,,,,,,,,,,,,,
A. Plea,181,,,,,,,,,,,,,,,,,,,,,,,
Y. Poulsen,193,,,,,,,,,,,,,,,,,,,,,,,
R. Fraser,163,,,,,,,,,,,,,,,,,,,,,,,
M. Ginter,191,,,,,,,,,,,,,,,,,,,,,,,
R. Guerreiro,170,,,,,,,,,,,,,,,,,,,,,,,
João Mário,179,,,,,,,,,,,,,,,,,,,,,,,
Thiago Mendes,177,,,,,,,,,,,,,,,,,,,,,,,
A. Izzo,183,,,,,,,,,,,,,,,,,,,,,,,
M. Brozović,181,,,,,,,,,,,,,,,,,,,,,,,
A. Ljajić,182,,,,,,,,,,,,,,,,,,,,,,,
J. Corona,173,,,,,,,,,,,,,,,,,,,,,,,
Jordi Masip,180,,,,,,,,,,,,,,,,,,,,,,,
T. Vaclík,188,,,,,,,,,,,,,,,,,,,,,,,
L. Milivojević,186,,,,,,,,,,,,,,,,,,,,,,,
Gerard Moreno,180,,,,,,,,,,,,,,,,,,,,,,,
W. Weghorst,197,,,,,,,,,,,,,,,,,,,,,,,
Quaresma,175,,,,,,,,,,,,,,,,,,,,,,,
J. Mathieu,189,,,,,,,,,,,,,,,,,,,,,,,
J. Milner,175,,,,,,,,,,,,,,,,,,,,,,,
L. López,174,,,,,,,,,,,,,,,,,,,,,,,
B. Gomis,184,,,,,,,,,,,,,,,,,,,,,,,
M. Dembélé,185,,,,,,,,,,,,,,,,,,,,,,,
Cesc Fàbregas,179,,,,,,,,,,,,,,,,,,,,,,,
A. Consigli,189,,,,,,,,,,,,,,,,,,,,,,,
L. Koscielny,186,,,,,,,,,,,,,,,,,,,,,,,
Jardel,192,,,,,,,,,,,,,,,,,,,,,,,
Renato Augusto,186,,,,,,,,,,,,,,,,,,,,,,,
José Fonte,187,,,,,,,,,,,,,,,,,,,,,,,
A. Guardado,169,,,,,,,,,,,,,,,,,,,,,,,
